num_nodes,rate_hz,pdr,goodput_bps,offered_bps,pkts
4,10,0.6957123098201936,1527.7559322033899,2195.9593220338984,1446
4,15,0.5726989773232548,1956.0135593220339,3415.430508474576,2249
4,20,0.46794871794871795,2106.3593220338985,4501.261016949153,2964
4,25,0.3947945205479452,2188.3661016949154,5543.050847457627,3650
4,30,0.3044769301050708,2024.3525423728813,6648.623728813559,4378
4,40,0.16956077630234934,1512.5694915254237,8920.515254237289,5874
4,50,0.0778330420755478,879.2949152542373,11297.193220338982,7439
4,60,0.0320982092577993,432.8135593220339,13484.040677966103,8879
4,80,0.003535055971719552,63.78305084745763,18043.010169491525,11881
8,10,0.47070914696813976,2086.6169491525425,4432.922033898305,2919
8,15,0.28679750223015166,1952.9762711864407,6809.6,4484
8,20,0.1430238373062177,1302.9966101694915,9110.345762711864,5999
8,25,0.07438586806513939,818.5491525423729,11004.094915254238,7246
8,30,0.02127659574468085,290.06101694915253,13632.86779661017,8977
8,40,0.0027966101694915256,50.115254237288134,17920.0,11800
8,50,0.0004755434782608696,10.63050847457627,22354.4406779661,14720
8,60,0.0,0.0,26558.04745762712,17488
8,80,0.0,0.0,36000.97627118644,23706
12,10,0.2506768953068592,1687.213559322034,6730.630508474576,4432
12,15,0.072008263243323,741.0983050847458,10291.850847457627,6777
12,20,0.016112789526686808,218.68474576271186,13572.122033898306,8937
12,25,0.002492433683460922,42.52203389830508,17060.44745762712,11234
12,30,0.00030032284706059013,6.074576271186441,20226.820338983052,13319
12,40,0.00011203226529240422,3.0372881355932204,27110.833898305085,17852
12,50,4.482897745102434e-05,1.5186440677966102,33876.393220338985,22307
12,60,0.0,0.0,40180.284745762714,26458
12,80,0.0,0.0,54057.65423728814,35596
